SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,YearsOld
2126,4,1,Rural,1969,215355.2836,53
2459,3,2,Rural,1980,195014.2216,42
1860,2,1,Suburb,1970,306891.0121,52
2294,2,1,Urban,1996,206786.7872,26
2130,5,2,Suburb,2001,272436.2391,21
2095,2,3,Suburb,2020,198208.8039,2
2724,2,1,Suburb,1993,343429.3191,29
2044,4,3,Rural,1957,184992.3213,65
2638,4,3,Urban,1959,377998.5882,63
1121,5,2,Urban,2004,95961.92601,18
1466,5,3,Suburb,1951,191113.7687,71
2238,3,3,Suburb,1987,253358.645,35
1330,2,2,Suburb,1992,132172.3926,30
2482,4,3,Suburb,1989,231157.0277,33
1087,4,1,Urban,1976,118393.8232,46
2396,2,2,Suburb,1993,267377.3997,29
2123,5,2,Rural,1956,190773.1486,66
1871,4,2,Suburb,1977,172989.8049,45
2687,5,1,Urban,1979,239222.6678,43
1130,4,3,Rural,1962,143050.2018,60
2685,4,3,Urban,1999,405523.8283,23
2332,3,3,Rural,1978,263954.1541,44
1769,4,1,Suburb,1963,148310.6202,59
1343,2,3,Rural,2013,151733.9225,9
2515,2,3,Urban,2013,307961.1074,9
2437,2,1,Rural,2004,276162.8618,18
1805,5,1,Rural,2002,243985.2055,20
1385,4,3,Rural,1996,88030.54185,26
2215,5,1,Urban,1952,282908.9817,70
1955,3,1,Rural,2014,240976.5518,8
1276,4,1,Rural,1965,104747.3346,57
2184,2,2,Suburb,1959,347207.3896,63
1459,3,2,Rural,2006,77493.93144,16
2337,3,3,Suburb,2008,331851.0817,14
1021,4,3,Rural,2013,110408.6708,9
1252,2,1,Urban,1993,127932.7568,29
1747,5,3,Rural,1982,228683.227,40
1856,4,2,Rural,1959,124711.7079,63
2584,2,3,Suburb,2001,415850.7708,21
1474,3,3,Urban,1959,184819.9612,63
2082,4,2,Suburb,1966,164855.9878,56
1510,3,2,Suburb,2002,156928.0147,20
2705,2,1,Urban,1971,282457.8614,51
2499,5,1,Urban,2021,287591.6728,1
1699,5,1,Rural,1960,156313.5942,62
1975,3,3,Suburb,2016,279764.371,6
2806,3,3,Suburb,1962,366494.4806,60
1189,3,3,Urban,2007,244539.2817,15
1957,4,2,Rural,1994,239299.9945,28
